timestamp,frame_idx,did_infer,detections,capture_ms,infer_ms,draw_ms,encode_ms,emit_ms,loop_ms,display_fps
2026-04-24 09:46:31,219,1,0,4.121,328.661,6.254,1.391,0.323,341.219,23.418
2026-04-24 09:46:31,220,0,0,7.023,0.0,5.988,4.734,0.334,18.594,24.556
2026-04-24 09:46:31,221,0,0,2.592,0.0,4.434,1.375,0.311,9.179,25.385
2026-04-24 09:46:32,222,1,0,4.959,215.025,4.572,1.582,0.399,226.896,23.268
2026-04-24 09:46:32,223,0,0,1.849,0.0,5.334,0.94,0.248,8.853,25.273
2026-04-24 09:46:32,224,0,0,1.924,0.0,4.996,2.355,0.277,10.081,26.638
2026-04-24 09:46:32,225,1,0,2.223,207.941,5.374,1.858,0.384,218.258,24.403
2026-04-24 09:46:32,226,0,0,1.746,0.0,5.388,1.854,0.499,9.96,26.057
2026-04-24 09:46:32,227,0,0,1.619,0.0,5.738,2.032,0.384,10.18,27.064
2026-04-24 09:46:33,228,1,0,1.865,657.599,5.25,1.529,0.286,666.92,24.504
2026-04-24 09:46:33,229,0,0,3.078,0.0,5.492,1.33,1.998,12.366,26.019
2026-04-24 09:46:33,230,0,0,10.086,0.0,11.774,1.629,0.322,24.206,27.018
2026-04-24 09:46:33,231,1,0,2.005,366.732,5.465,1.408,0.533,376.894,24.571
2026-04-24 09:46:33,232,0,0,2.198,0.0,5.243,1.641,0.357,9.919,25.765
2026-04-24 09:46:33,233,0,0,9.399,0.0,5.439,2.41,0.404,18.158,26.93
2026-04-24 09:46:33,234,1,0,6.486,282.572,4.581,0.928,0.222,295.059,24.554
2026-04-24 09:46:33,235,0,0,1.715,0.0,6.262,1.233,0.394,10.002,26.577
2026-04-24 09:46:34,236,0,0,2.231,0.0,7.094,2.234,0.645,12.518,27.924
2026-04-24 09:46:34,237,1,0,2.058,235.76,19.767,1.965,0.415,260.588,25.507
2026-04-24 09:46:34,238,0,0,1.871,0.0,3.851,1.073,0.228,7.48,25.327
2026-04-24 09:46:34,239,0,0,2.024,0.0,4.737,1.941,0.363,9.528,27.134
2026-04-24 09:46:34,240,1,0,2.435,218.272,5.428,1.936,0.412,228.955,24.832
2026-04-24 09:46:34,241,0,0,1.556,0.0,7.355,1.987,0.636,12.258,25.795
2026-04-24 09:46:34,242,0,0,24.75,0.0,5.743,1.61,0.287,32.811,25.746
2026-04-24 09:46:35,243,1,0,2.326,398.998,19.096,1.245,0.497,423.79,23.407
2026-04-24 09:46:35,244,0,0,1.873,0.0,4.994,2.871,0.297,10.496,23.571
2026-04-24 09:46:35,245,0,0,1.807,0.0,4.744,1.411,0.283,8.856,25.214
2026-04-24 09:46:35,246,1,0,1.968,485.046,20.32,1.815,0.4,509.902,22.889
2026-04-24 09:46:35,247,0,0,1.647,0.0,19.576,1.621,0.236,23.561,23.005
